  32.676 41.922 36.525  4.205  0.516 12.045 13.392 15.608   0.21
 1 918 5 0 3 2 5 2 1104.7916 1105.8125
 14.793  0.445  5.834  6.288 35.786 49.888  5.524 18.533  6.611
  32.676 41.922 36.525  4.205  0.516 12.045 13.392 15.608   0.21
 11018 430 1 3 4 9 1105.8125 1106.7570
 13.892  0.489 15.419 15.881 -9.503  2.693  0.583  2.156 14.013
  -3.615 13.726 24.448  5.859  0.936 16.882 12.204 12.915   0.83
 11018 430 1 3 4 9 1105.8125 1106.7570
 13.681  0.409 14.951 15.337 -7.872  4.125  1.920  3.355 14.013
  -3.615 13.726 24.448  5.859  0.936 16.882 12.204 12.915   0.83
 11018 430 1 3 4 9 1105.8125 1106.7570
 14.348  0.425 13.323 13.725 -1.271 11.356  8.158  2.198 14.013
  -3.615 13.726 24.448  5.859  0.936 16.882 12.204 12.915   0.83
 11018 430 0 0 1 2 1105.8125 1106.7570
 14.663  0.439  6.144  6.559  5.680 18.604  0.747  0.510  6.144
   5.680  0.747  1.126  0.000  0.474  0.000-75.469 14.593   0.17
 11018 430 1 1 2 2 1105.8125 1106.7570
 15.539 -0.250  7.382  7.146 45.263 59.014 17.992 29.113  6.827
  47.610 36.525 31.755  4.721 -1.162 13.392 12.699 13.363   0.27
 11118 549 9 514 7 1106.7570 1107.7500
 11.944  0.217-15.454-15.670-16.527 -5.638  2.350  0.506-16.264
 -20.995 58.475 21.432  5.604  1.738 19.276 18.462 11.651   0.62
 11118 549 9 514 7 1106.7570 1107.7500
 12.058  0.248-15.342-15.588-17.627 -6.625 14.684  6.141-16.264
 -20.995 58.475 21.432  5.604  1.738 19.276 18.462 11.651   0.62
 11118 549 9 514 7 1106.7570 1107.7500
 12.620  0.289-15.301-15.588-18.185 -6.625  0.418  6.141-16.264
 -20.995 58.475 21.432  5.604  1.738 19.276 18.462 11.651   0.62
 11118 549 9 514 7 1106.7570 1107.7500
 12.472  0.163-16.648-16.809-18.865 -7.452  0.050  0.459-16.264
 -20.995 58.475 21.432  5.604  1.738 19.276 18.462 11.651   0.62
 11118 549 9 514 7 1106.7570 1107.7500
 11.764  0.521-15.611-16.128-21.282-10.572  0.117  0.695-16.264
 -20.995 58.475 21.432  5.604  1.738 19.276 18.462 11.651   0.62
 11118 549 9 514 7 1106.7570 1107.7500
 12.537  0.275-15.855-16.128-22.050-10.572  5.597  0.695-16.264
 -20.995 58.475 21.432  5.604  1.738 19.276 18.462 11.651   0.62
 11118 549 9 514 7 1106.7570 1107.7500
 11.706  0.141-17.983-18.123-24.764-14.111 15.277 10.448-16.264
 -20.995 58.475 21.432  5.604  1.738 19.276 18.462 11.651   0.62
 11118 549 4 5 9 8 1106.7570 1107.7500
 13.777 -1.939 15.379 13.454  5.138 17.847  7.358  9.865 14.800
   7.658 24.448 35.225  6.795  1.760 12.204 12.073 11.361  -1.19
 11118 549 4 5 9 8 1106.7570 1107.7500
 14.198 -1.713 13.725 12.024 11.356 24.483  2.198  9.486 14.800
   7.658 24.448 35.225  6.795  1.760 12.204 12.073 11.361  -1.19
 11118 549 4 5 9 8 1106.7570 1107.7500
 14.101 -1.759 13.771 12.024 11.452 24.483  7.653  9.486 14.800
   7.658 24.448 35.225  6.795  1.760 12.204 12.073 11.361  -1.19
 11118 549 1 1 2 1 1106.7570 1107.7500
 14.411 -1.458  6.100  4.653 18.484 31.823  0.617  2.356  6.308
  18.538  1.126  2.356  0.474 -0.474-75.469  0.000 14.357  -1.67
 11618 630 6 51127 1111.7291 1112.6666
 13.960  0.180-15.418-15.586-47.591-35.421 40.254 36.814-16.318
 -50.986 87.660124.425  6.976 -1.194 16.274 10.856 13.787  -0.04
 11618 630 6 51127 1111.7291 1112.6666
 13.876  0.231-14.861-15.077-48.518-36.427  3.329  3.289-16.318
 -50.986 87.660124.425  6.976 -1.194 16.274 10.856 13.787  -0.04
 11618 630 6 51127 1111.7291 1112.6666
 13.746  0.348-14.071-14.398-47.735-35.766  0.428  2.247-16.318
 -50.986 87.660124.425  6.976 -1.194 16.274 10.856 13.787  -0.04
 11618 630 6 51127 1111.7291 1112.6666
 13.757  0.058-16.047-16.102-48.663-36.683  0.050  9.134-16.318
 -50.986 87.660124.425  6.976 -1.194 16.274 10.856 13.787  -0.04
 11618 630 6 51127 1111.7291 1112.6666
 13.701  0.503-15.807-16.278-49.539-37.611  3.077  6.372-16.318
 -50.986 87.660124.425  6.976 -1.194 16.274 10.856 13.787  -0.04
 11618 630 6 51127 1111.7291 1112.6666
 13.813  0.481-18.331-18.782-55.093-43.061 15.021  5.322-16.318
 -50.986 87.660124.425  6.976 -1.194 16.274 10.856 13.787  -0.04
 11618 630 6 51127 1111.7291 1112.6666
 13.729  0.311-16.581-16.872-54.886-42.933 16.228 30.116-16.318
 -50.986 87.660124.425  6.976 -1.194 16.274 10.856 13.787  -0.04
 11618 630 6 51127 1111.7291 1112.6666
 13.492  0.370-17.429-17.776-54.621-42.890  0.050  0.050-16.318
 -50.986 87.660124.425  6.976 -1.194 16.274 10.856 13.787  -0.04
 11618 630 6 51127 1111.7291 1112.6666
 14.083  0.336-17.730-18.045-55.372-43.087  0.178  1.522-16.318
 -50.986 87.660124.425  6.976 -1.194 16.274 10.856 13.787  -0.04
 11618 630 1 1 2 3 1111.7291 1112.6666
 13.710  0.758-10.827-11.538-56.072-44.136  2.867  1.927-10.703
 -57.358  6.593  5.301  2.248 -0.277 -5.586-24.461 13.794   0.97
 11618 630 1 1 2 3 1111.7291 1112.6666
 13.868  0.632-10.608-11.200-58.348-46.264  3.727  2.637-10.703
 -57.358  6.593  5.301  2.248 -0.277 -5.586-24.461 13.794   0.97
 11618 630 0 0 1 1 1111.7291 1112.6666
 13.800  0.292 -7.203 -7.477-49.560-37.540 10.754  9.642 -7.203
 -49.560 10.754  9.642  0.000  0.000  0.000  0.000 13.800   0.29
 11618 630 0 0 1 1 1111.7291 1112.6666
 12.189 -0.221 16.098 15.891-54.237-43.727 15.996 16.797 16.098
 -54.237 15.996 16.797  0.000  0.000  0.000  0.000 12.189  -0.22
 11618 630 4111514 1111.7291 1112.6666
 12.820  1.306 20.938 22.162 -1.498  9.603  1.281  5.297 21.545
   3.326 40.853 52.343  6.248  0.754 15.236 13.922 12.223   0.56
 11618 630 4111514 1111.7291 1112.6666
 12.454  0.993 21.713 22.643 -0.990  9.768  1.834  4.853 21.545
   3.326 40.853 52.343  6.248  0.754 15.236 13.922 12.223   0.56
 11618 630 4111514 1111.7291 1112.6666
 12.590  1.283 23.441 24.643 -1.894  8.991  1.642  3.046 21.545
   3.326 40.853 52.343  6.248  0.754 15.236 13.922 12.223   0.56
 11618 630 4111514 1111.7291 1112.6666
 12.623  1.048 23.815 24.797 -1.311  9.606  0.477  0.120 21.545
   3.326 40.853 52.343  6.248  0.754 15.236 13.922 12.223   0.56
 11618 630 4111514 1111.7291 1112.6666
 12.689  1.084 20.649 21.666  0.525 11.504  1.086  0.050 21.545
   3.326 40.853 52.343  6.248  0.754 15.236 13.922 12.223   0.56
 11618 630 4111514 1111.7291 1112.6666
 12.305  1.031 20.815 21.781  5.409 16.027  7.974  1.463 21.545
   3.326 40.853 52.343  6.248  0.754 15.236 13.922 12.223   0.56
 11618 630 2 1 3 1 1111.7291 1112.6666
 14.862  1.228  3.363  4.514 30.095 43.111  0.050  3.611  4.809
  28.298  2.026  3.611  4.020 -4.020 29.098  0.000 16.779  -0.31
 11618 630 2 1 3 1 1111.7291 1112.6666
 14.618  0.855  3.712  4.514 30.324 43.111  0.819  3.611  4.809
  28.298  2.026  3.611  4.020 -4.020 29.098  0.000 16.779  -0.31
 11718 8 0111627 3 1112.6666 1113.7188
 16.801 -1.730-18.146-16.326-40.493-23.846  1.710  7.918-16.281
 -38.978124.425 46.699  5.782 -3.664 10.856 29.452 16.872  -0.78
 11718 8 0111627 3 1112.6666 1113.7188
 16.732 -1.828-16.818-14.895-38.825-22.251  0.614 17.949-16.281
 -38.978124.425 46.699  5.782 -3.664 10.856 29.452 16.872  -0.78
 11718 8 0 2 1 3 2 1112.6666 1113.7188
 15.762  0.139-11.200-11.346-46.264-30.710  2.637  4.061-11.610
 -45.344  5.301  4.111  1.971 -1.654-24.461-63.799 14.889  -0.25
 11718 8 0 0 0 1 2 1112.6666 1113.7188
 14.249 -0.148 -7.477 -7.321-37.540-23.578  9.642  0.302 -7.477
 -37.540  9.642  0.465  0.000  0.550  0.000-22.261 14.078  -0.22
 11718 8 0 0 0 1 1 1112.6666 1113.7188
 13.800 -0.330 17.764 17.417-53.960-40.471  8.662  0.050 17.764
 -53.960  8.662  0.050  0.000  0.000  0.000  0.000 13.800  -0.33
 11718 8 0 0 0 1 2 1112.6666 1113.7188
 14.581 -0.138 15.891 15.746-43.727-29.416 16.797  7.089 15.891
 -43.727 16.797 14.226  0.000  0.852  0.000-21.994 14.190  -0.29
 11818 645 1 1 2 1 1113.7188 1114.7847
 14.544 -0.654-11.631-10.934-30.568-16.108  0.050  1.450-11.350
 -30.709  4.111  1.450  0.317 -0.317-63.799  0.000 14.676  -0.39
 11818 645 1 1 2 1 1113.7188 1114.7847
 14.678 -0.387-11.346-10.934-30.710-16.108  4.061  1.450-11.350
